ID: 646, Macro-label: obiettivi disciplinari -- programmazione (specifici), Author: EN, Value: 1
ID: 646, Macro-label: obiettivi disciplinari -- programmazione (specifici), Author: GA, Value: 1
ID: 646, Macro-label: obiettivi disciplinari -- programmazione (specifici), Author: LF, Value: 1
ID: 646, Macro-label: obiettivi disciplinari -- programmazione (specifici), Author: ML, Value: 1
ID: 646, Macro-label: focus d2 -- contenuto, Author: ADZ, Value: 1
ID: 646, Macro-label: focus d2 -- contenuto, Author: CM, Value: 1
ID: 646, Macro-label: focus d2 -- contenuto, Author: EN, Value: 1
ID: 646, Macro-label: focus d2 -- contenuto, Author: GA, Value: 1
ID: 646, Macro-label: focus d2 -- contenuto, Author: LF, Value: 1
ID: 646, Macro-label: focus d2 -- contenuto, Author: ML, Value: 1
ID: 646, Macro-label: risposta generica d3 -- vuoto-d3, Author: ADZ, Value: 1
ID: 646, Macro-label: risposta generica d3 -- vuoto-d3, Author: CM, Value: 1
ID: 646, Macro-label: risposta generica d3 -- vuoto-d3, Author: EN, Value: 1
ID: 646, Macro-label: risposta generica d3 -- vuoto-d3, Author: GA, Value: 1
ID: 646, Macro-label: risposta generica d3 -- vuoto-d3, Author: LF, Value: 1
ID: 646, Macro-label: risposta generica d3 -- vuoto-d3, Author: ML, Value: 1
ID: 652, Macro-label: materiali/strumenti fisici -- lim, Author: ADZ, Value: 1
ID: 652, Macro-label: materiali/strumenti fisici -- lim, Author: CM, Value: 1
ID: 652, Macro-label: materiali/strumenti fisici -- lim, Author: EN, Value: 1
ID: 652, Macro-label: materiali/strumenti fisici -- lim, Author: GA, Value: 1
ID: 652, Macro-label: materiali/strumenti fisici -- lim, Author: LF, Value: 1
ID: 652, Macro-label: materiali/strumenti fisici -- lim, Author: ML, Value: 1
ID: 652, Macro-label: attività -- coding, Author: ADZ, Value: 1
ID: 652, Macro-label: attività -- coding, Author: CM, Value: 1
ID: 652, Macro-label: attività -- coding, Author: EN, Value: 1
ID: 652, Macro-label: attività -- coding, Author: GA, Value: 1
ID: 652, Macro-label: attività -- coding, Author: LF, Value: 1
ID: 652, Macro-label: attività -- coding, Author: ML, Value: 1
ID: 652, Macro-label: obiettivi disciplinari -- pratiche, Author: ADZ, Value: 1
ID: 652, Macro-label: obiettivi disciplinari -- pratiche, Author: CM, Value: 1
ID: 652, Macro-label: obiettivi disciplinari -- pratiche, Author: EN, Value: 1
ID: 652, Macro-label: obiettivi disciplinari -- pratiche, Author: GA, Value: 1
ID: 652, Macro-label: obiettivi disciplinari -- pratiche, Author: LF, Value: 1
ID: 652, Macro-label: obiettivi disciplinari -- pratiche, Author: ML, Value: 1
ID: 652, Macro-label: obiettivi pertinenti -- logica, Author: ADZ, Value: 1
ID: 652, Macro-label: obiettivi pertinenti -- logica, Author: CM, Value: 1
ID: 652, Macro-label: obiettivi pertinenti -- logica, Author: EN, Value: 1
ID: 652, Macro-label: obiettivi pertinenti -- logica, Author: GA, Value: 1
ID: 652, Macro-label: obiettivi pertinenti -- logica, Author: LF, Value: 1
ID: 652, Macro-label: obiettivi pertinenti -- logica, Author: ML, Value: 1
ID: 652, Macro-label: obiettivi pertinenti -- problem solving, Author: ADZ, Value: 1
ID: 652, Macro-label: obiettivi pertinenti -- problem solving, Author: CM, Value: 1
ID: 652, Macro-label: obiettivi pertinenti -- problem solving, Author: EN, Value: 1
ID: 652, Macro-label: obiettivi pertinenti -- problem solving, Author: GA, Value: 1
ID: 652, Macro-label: obiettivi pertinenti -- problem solving, Author: LF, Value: 1
ID: 652, Macro-label: obiettivi pertinenti -- problem solving, Author: ML, Value: 1
ID: 652, Macro-label: soft skills/ trasversali/ metacognizione -- processi cognitivi, Author: ADZ, Value: 1
ID: 652, Macro-label: soft skills/ trasversali/ metacognizione -- processi cognitivi, Author: CM, Value: 1
ID: 652, Macro-label: soft skills/ trasversali/ metacognizione -- processi cognitivi, Author: EN, Value: 1
ID: 652, Macro-label: soft skills/ trasversali/ metacognizione -- processi cognitivi, Author: GA, Value: 1
ID: 652, Macro-label: soft skills/ trasversali/ metacognizione -- processi cognitivi, Author: LF, Value: 1
ID: 652, Macro-label: soft skills/ trasversali/ metacognizione -- processi cognitivi, Author: ML, Value: 1
ID: 652, Macro-label: soft skills/ trasversali/ metacognizione -- ragionamento, Author: ADZ, Value: 1
ID: 652, Macro-label: soft skills/ trasversali/ metacognizione -- ragionamento, Author: CM, Value: 1
ID: 652, Macro-label: soft skills/ trasversali/ metacognizione -- ragionamento, Author: EN, Value: 1
ID: 652, Macro-label: soft skills/ trasversali/ metacognizione -- ragionamento, Author: GA, Value: 1
ID: 652, Macro-label: soft skills/ trasversali/ metacognizione -- ragionamento, Author: LF, Value: 1
ID: 652, Macro-label: soft skills/ trasversali/ metacognizione -- ragionamento, Author: ML, Value: 1
ID: 652, Macro-label: focus d2 -- studente, Author: ADZ, Value: 1
ID: 652, Macro-label: focus d2 -- studente, Author: CM, Value: 1
ID: 652, Macro-label: focus d2 -- studente, Author: EN, Value: 1
ID: 652, Macro-label: focus d2 -- studente, Author: GA, Value: 1
ID: 652, Macro-label: focus d2 -- studente, Author: LF, Value: 1
ID: 652, Macro-label: focus d2 -- studente, Author: ML, Value: 1
ID: 654, Macro-label: materiali/strumenti fisici -- corpo, Author: ADZ, Value: 1
ID: 654, Macro-label: materiali/strumenti fisici -- corpo, Author: CM, Value: 1
ID: 654, Macro-label: materiali/strumenti fisici -- corpo, Author: EN, Value: 1
ID: 654, Macro-label: materiali/strumenti fisici -- corpo, Author: GA, Value: 1
ID: 654, Macro-label: materiali/strumenti fisici -- corpo, Author: LF, Value: 1
ID: 654, Macro-label: materiali/strumenti fisici -- corpo, Author: ML, Value: 1
ID: 654, Macro-label: materiali/strumenti fisici -- pc/tablet, Author: ADZ, Value: 1
ID: 654, Macro-label: materiali/strumenti fisici -- pc/tablet, Author: CM, Value: 1
ID: 654, Macro-label: materiali/strumenti fisici -- pc/tablet, Author: EN, Value: 1
ID: 654, Macro-label: materiali/strumenti fisici -- pc/tablet, Author: GA, Value: 1
ID: 654, Macro-label: materiali/strumenti fisici -- pc/tablet, Author: LF, Value: 1
ID: 654, Macro-label: materiali/strumenti fisici -- pc/tablet, Author: ML, Value: 1
ID: 654, Macro-label: materiali/strumenti fisici -- robot, Author: ADZ, Value: 1
ID: 654, Macro-label: materiali/strumenti fisici -- robot, Author: CM, Value: 1
ID: 654, Macro-label: materiali/strumenti fisici -- robot, Author: EN, Value: 1
ID: 654, Macro-label: materiali/strumenti fisici -- robot, Author: GA, Value: 1
ID: 654, Macro-label: materiali/strumenti fisici -- robot, Author: LF, Value: 1
ID: 654, Macro-label: materiali/strumenti fisici -- robot, Author: ML, Value: 1
ID: 654, Macro-label: attività -- coding, Author: ADZ, Value: 1
ID: 654, Macro-label: attività -- coding, Author: CM, Value: 1
ID: 654, Macro-label: attività -- coding, Author: EN, Value: 1
ID: 654, Macro-label: attività -- coding, Author: GA, Value: 1
ID: 654, Macro-label: attività -- coding, Author: LF, Value: 1
ID: 654, Macro-label: attività -- coding, Author: ML, Value: 1
ID: 654, Macro-label: attività -- movimento e percorsi, Author: ADZ, Value: 1
ID: 654, Macro-label: attività -- movimento e percorsi, Author: CM, Value: 1
ID: 654, Macro-label: attività -- movimento e percorsi, Author: EN, Value: 1
ID: 654, Macro-label: attività -- movimento e percorsi, Author: GA, Value: 1
ID: 654, Macro-label: attività -- movimento e percorsi, Author: LF, Value: 1
ID: 654, Macro-label: attività -- movimento e percorsi, Author: ML, Value: 1
ID: 654, Macro-label: attività -- programmazione, Author: ADZ, Value: 1
ID: 654, Macro-label: attività -- programmazione, Author: CM, Value: 1
ID: 654, Macro-label: attività -- programmazione, Author: EN, Value: 1
ID: 654, Macro-label: attività -- programmazione, Author: GA, Value: 1
ID: 654, Macro-label: attività -- programmazione, Author: LF, Value: 1
ID: 654, Macro-label: attività -- programmazione, Author: ML, Value: 1
ID: 654, Macro-label: attività -- unplugged, Author: ADZ, Value: 1
ID: 654, Macro-label: attività -- unplugged, Author: CM, Value: 1
ID: 654, Macro-label: attività -- unplugged, Author: EN, Value: 1
ID: 654, Macro-label: attività -- unplugged, Author: GA, Value: 1
ID: 654, Macro-label: attività -- unplugged, Author: LF, Value: 1
ID: 654, Macro-label: attività -- unplugged, Author: ML, Value: 1
ID: 654, Macro-label: piattaforma/ ambiente -- code.org / programma il futuro, Author: ADZ, Value: 1
ID: 654, Macro-label: piattaforma/ ambiente -- code.org / programma il futuro, Author: CM, Value: 1
ID: 654, Macro-label: piattaforma/ ambiente -- code.org / programma il futuro, Author: EN, Value: 1
ID: 654, Macro-label: piattaforma/ ambiente -- code.org / programma il futuro, Author: GA, Value: 1
ID: 654, Macro-label: piattaforma/ ambiente -- code.org / programma il futuro, Author: LF, Value: 1
ID: 654, Macro-label: piattaforma/ ambiente -- code.org / programma il futuro, Author: ML, Value: 1
ID: 654, Macro-label: piattaforma/ ambiente -- robot, Author: ADZ, Value: 1
ID: 654, Macro-label: piattaforma/ ambiente -- robot, Author: CM, Value: 1
ID: 654, Macro-label: piattaforma/ ambiente -- robot, Author: EN, Value: 1
