D3_pensiero divergente: PROCESSI COGNITIVI, soft skills/ trasversali/ metacognizione
D3_astrazione: PROCESSI COGNITIVI, soft skills/ trasversali/ metacognizione
D3_analizzare processi: PROCESSI COGNITIVI, soft skills/ trasversali/ metacognizione
D3_riflettere sull'esperienza: PROCESSI COGNITIVI, soft skills/ trasversali/ metacognizione
D2_comprensione dei comandi di programmazione: PROCESSI COGNITIVI, soft skills/ trasversali/ metacognizione
D3_comprensione di istruzioni: PROCESSI COGNITIVI, soft skills/ trasversali/ metacognizione
D3_valutazione attendibilità informazioni: PROCESSI COGNITIVI, soft skills/ trasversali/ metacognizione
D3_capacità di previsione: PROCESSI COGNITIVI, soft skills/ trasversali/ metacognizione
D3_osservazione/ memoria/ analisi: PROCESSI COGNITIVI, soft skills/ trasversali/ metacognizione
D1_pianificazione: PROCESSI COGNITIVI, soft skills/ trasversali/ metacognizione
D3_esprimersi correttamente: COMUNICAZIONE, soft skills/ trasversali/ metacognizione
D3_presentare in modo esplicativo: COMUNICAZIONE, soft skills/ trasversali/ metacognizione
D3_comunicare con linguaggi specifici per la situazione: COMUNICAZIONE, soft skills/ trasversali/ metacognizione
D3_documentare attività svolte: COMUNICAZIONE, soft skills/ trasversali/ metacognizione
D2_comunicare con tecnologia: COMUNICAZIONE, soft skills/ trasversali/ metacognizione
D2_competenze narrative: COMUNICAZIONE, soft skills/ trasversali/ metacognizione
D1_capacità di narrazione: COMUNICAZIONE, soft skills/ trasversali/ metacognizione
D2_comunicazione con linguaggio specifico: COMUNICAZIONE, soft skills/ trasversali/ metacognizione
D2_descrizione di strategie: COMUNICAZIONE, soft skills/ trasversali/ metacognizione
D2_utilizzare codici e linguaggi diversi: COMUNICAZIONE, soft skills/ trasversali/ metacognizione
D1_presentazione: COMUNICAZIONE, soft skills/ trasversali/ metacognizione
D3_uso espressivo della tecnologia: COMUNICAZIONE, soft skills/ trasversali/ metacognizione
D2_cooperative learning: COLLABORAZIONE, soft skills/ trasversali/ metacognizione
D3_collaborazione: COLLABORAZIONE, soft skills/ trasversali/ metacognizione
D2_peer to peer: COLLABORAZIONE, soft skills/ trasversali/ metacognizione
D3_cooperative learning: COLLABORAZIONE, soft skills/ trasversali/ metacognizione
D2_collaborazione/ lavoro squadra: COLLABORAZIONE, soft skills/ trasversali/ metacognizione
D1_conversazione collaborativa / collaborazione: COLLABORAZIONE, soft skills/ trasversali/ metacognizione
D1_lavoro in coppia: COLLABORAZIONE, soft skills/ trasversali/ metacognizione
D2_creazione di lezioni: EMPOWERMENT, soft skills/ trasversali/ metacognizione
D2_coping power: EMPOWERMENT, soft skills/ trasversali/ metacognizione
D2_responsabilità: EMPOWERMENT, soft skills/ trasversali/ metacognizione
D2_auto-imprenditorialità: EMPOWERMENT, soft skills/ trasversali/ metacognizione
