Macro-etichetta: materiali/strumenti fisici -- pc/tablet
  ID: 773, Value: 6
  ID: 553, Value: 5
  ID: 605, Value: 1
  ID: 612, Value: 5
  ID: 626, Value: 6
  ID: 556, Value: 3
  ID: 581, Value: 1
  ID: 607, Value: 1
  ID: 613, Value: 1
  ID: 589, Value: 1
Macro-etichetta: attività -- unplugged
  ID: 643, Value: 6
  ID: 654, Value: 6
  ID: 658, Value: 6
  ID: 682, Value: 6
  ID: 698, Value: 6
  ID: 722, Value: 6
  ID: 736, Value: 6
  ID: 779, Value: 6
  ID: 784, Value: 6
  ID: 553, Value: 6
  ID: 556, Value: 6
  ID: 605, Value: 5
  ID: 613, Value: 6
  ID: 617, Value: 6
  ID: 626, Value: 4
  ID: 629, Value: 6
  ID: 581, Value: 4
  ID: 603, Value: 1
  ID: 612, Value: 2
Macro-etichetta: obiettivi pertinenti -- problem solving
  ID: 643, Value: 6
  ID: 652, Value: 6
  ID: 654, Value: 6
  ID: 659, Value: 6
  ID: 662, Value: 6
  ID: 668, Value: 6
  ID: 688, Value: 6
  ID: 706, Value: 6
  ID: 736, Value: 6
  ID: 745, Value: 6
  ID: 759, Value: 6
  ID: 779, Value: 6
  ID: 784, Value: 6
  ID: 553, Value: 6
  ID: 556, Value: 6
  ID: 580, Value: 6
  ID: 584, Value: 6
  ID: 603, Value: 5
  ID: 612, Value: 6
  ID: 613, Value: 6
  ID: 589, Value: 2
  ID: 605, Value: 5
  ID: 617, Value: 1
Macro-etichetta: metodologia -- forse
  ID: 646, Value: 6
  ID: 658, Value: 6
  ID: 659, Value: 6
  ID: 723, Value: 6
  ID: 728, Value: 6
  ID: 745, Value: 6
  ID: 766, Value: 6
  ID: 791, Value: 6
  ID: 550, Value: 1
  ID: 582, Value: 2
  ID: 612, Value: 2
  ID: 607, Value: 1
  ID: 556, Value: 1
  ID: 613, Value: 1
  ID: 548, Value: 1
  ID: 570, Value: 1
  ID: 589, Value: 1
  ID: 581, Value: 1
Macro-etichetta: focus d2 -- contenuto
  ID: 646, Value: 6
  ID: 548, Value: 2
  ID: 556, Value: 1
  ID: 580, Value: 2
  ID: 603, Value: 2
  ID: 605, Value: 2
  ID: 550, Value: 1
  ID: 553, Value: 1
  ID: 572, Value: 1
  ID: 584, Value: 1
  ID: 613, Value: 1
  ID: 617, Value: 1
  ID: 629, Value: 1
Macro-etichetta: materiali/strumenti fisici -- lim
  ID: 652, Value: 6
  ID: 658, Value: 6
  ID: 681, Value: 6
  ID: 717, Value: 6
  ID: 728, Value: 6
  ID: 759, Value: 6
  ID: 548, Value: 6
  ID: 584, Value: 6
  ID: 607, Value: 5
Macro-etichetta: obiettivi disciplinari -- pratiche
